student_number;first_name;last_name;gender;email_addresses;registration_date;payment_date;registration_fee;event_year
5654485;Rachel;CLAUDE;M;Rachel.CLAUDE@centralesupelec.fr;22 septembre 2015;22 septembre 2015;20,5euros;2016
6223280;Martial;FRETTE;M;Martial.FRETTE@centralesupelec.fr,Martial.FRETTE@yahoo.com;2015/09/26;2015/09/26;20,5 E;2016
9754036;Dorothée;BIENVENU;W;Dorothee.BIENVENU@centralesupelec.fr;28/09/2015;28 octobre 2015;20.5 E;2016
7279332;Lorène;TREMBLAY;W;Lorene.TREMBLAY@centralesupelec.fr,Lorene.TREMBLAY@hotmail.fr;10/10/2015;10/10/2015;20.5 E;2016
8559938;Rose-May;CRESPIN;W;Rose-May.CRESPIN@centralesupelec.fr;13 octobre 2015;12 novembre 2015;20,5;2016
8298694;Diego;PETIT;H;Diego.PETIT@centralesupelec.fr;2015/09/22;2015/09/22;20,5 E;2016
8113264;Georges;TRICOT;garçon;Georges.TRICOT@centralesupelec.fr,Georges.TRICOT@yahoo.fr;27/09/2015;27/09/2015;20.5euro;2016
7469007;Stephane;UZUREAU;garçon;Stephane.UZUREAU@centralesupelec.fr,Stephane.UZUREAU@yahoo.fr;2015/09/22;2015/09/22;20.5E;2016
3060112;Guilhem;DELAPORTE;garçon;Guilhem.DELAPORTE@centralesupelec.fr;20 octobre 2015;20 octobre 2015;20.5 e;2016
9325041;Magalie;BAZANTE;F;Magalie.BAZANTE@centralesupelec.fr,Magalie.BAZANTE@hotmail.fr;24 septembre 2015;2015/10/24;20.5 euro;2016
3614841;Jeanne Marie;HERY;F;Jeanne Marie.HERY@centralesupelec.fr;09/10/2015;09/10/2015;20,5 E;2016
7095740;Flora;HUBAULT;fille;Flora.HUBAULT@centralesupelec.fr;23 octobre 2015;2015/11/22;20,5e;2016
660365;Annabel;CROSNIER;fille;Annabel.CROSNIER@centralesupelec.fr;2015/10/26;;20,5 e;2016
3339188;Marie-Elisabeth;VIVION;W;Marie-Elisabeth.VIVION@centralesupelec.fr;18/09/2015;18/09/2015;20.5 E;2016
5810703;Severine;REBONDY;W;Severine.REBONDY@centralesupelec.fr;2015/10/16;2015/10/16;20.5 e;2016
3826518;Gina;BELANGER;W;Gina.BELANGER@centralesupelec.fr,Gina.BELANGER@hotmail.fr;06 octobre 2015;;20,5E;2016
2883408;Fernando;BENARD;M;Fernando.BENARD@centralesupelec.fr;2015/10/13;2015/10/13;20,5e;2016
9437095;Werner;HULLIN;M;Werner.HULLIN@centralesupelec.fr,Werner.HULLIN@yahoo.com;16/09/2015;16/09/2015;20.5;2016
5744405;Lisette;JOURDAIN;fille;Lisette.JOURDAIN@centralesupelec.fr;2015/09/25;2015/09/25;20,5euros;2016
9405837;Marinette;JURET;W;Marinette.JURET@centralesupelec.fr,Marinette.JURET@free.fr;October 18, 2015;October 18, 2015;20,5e;2016
3500040;Frédérique;EVAIN;fille;Frederique.EVAIN@centralesupelec.fr,Frederique.EVAIN@yahoo.com;05 octobre 2015;2015/11/04;20.5 euro;2016
5679002;Solenne;BLANCHARD;W;Solenne.BLANCHARD@centralesupelec.fr,Solenne.BLANCHARD@yahoo.fr;26/10/2015;25/11/2015;20,5e;2016
9094742;Thérèse-Marie;THOMAS;F;Therese-Marie.THOMAS@centralesupelec.fr;20/09/2015;20/09/2015;20,5euros;2016
7489903;Davy;ALEXANDRE;M;Davy.ALEXANDRE@centralesupelec.fr;2015/09/24;2015/09/24;20.5 euro;2016
9413847;Tamara;CHOLET;fille;Tamara.CHOLET@centralesupelec.fr;2015/09/23;23 octobre 2015;20.5 e;2016
7311187;Hugo;DESHAYES;M;Hugo.DESHAYES@centralesupelec.fr,Hugo.DESHAYES@free.fr;2015/10/12;2015/10/12;20.5 E;2016
8203047;Désiré;POTTIER;H;Desire.POTTIER@centralesupelec.fr;2015/10/24;2015/10/24;20.5euros;2016
5928897;Assia;TELLIER;F;Assia.TELLIER@centralesupelec.fr;20 septembre 2015;;20,5 e;2016
8687526;Sylvine;CHEVET;W;Sylvine.CHEVET@centralesupelec.fr,Sylvine.CHEVET@orange.fr;05/10/2015;05/10/2015;20,5e;2016
3411639;Annaïck;CRETIN;F;Annaick.CRETIN@centralesupelec.fr,Annaick.CRETIN@orange.fr;21/10/2015;20/11/2015;20,5 euro;2016
8516750;Irénée;DEVEAU;garçon;Irenee.DEVEAU@centralesupelec.fr;10/10/2015;November 09, 2015;20.5 e;2016
5352488;Pauline;JOLIVET;F;Pauline.JOLIVET@centralesupelec.fr,Pauline.JOLIVET@free.fr;08 octobre 2015;08 octobre 2015;20,5E;2016
7101049;Daniela;DINAND;fille;Daniela.DINAND@centralesupelec.fr;October 18, 2015;17 novembre 2015;20,5 e;2016
6359723;Axel;POITOU;garçon;Axel.POITOU@centralesupelec.fr;28 septembre 2015;28/10/2015;20,5;2016
982945;Romaric;ESNARD;M;Romaric.ESNARD@centralesupelec.fr;17/10/2015;16/11/2015;20,5euro;2016
9428129;Florine;DUBIN;F;Florine.DUBIN@centralesupelec.fr,Florine.DUBIN@yahoo.com;October 22, 2015;2015/11/21;20.5euro;2016
5633652;Jerôme;FLECHEAU;M;Jerome.FLECHEAU@centralesupelec.fr,Jerome.FLECHEAU@google.com;October 22, 2015;October 22, 2015;20.5euro;2016
6976364;Juliana;BRECHETEAU;fille;Juliana.BRECHETEAU@centralesupelec.fr,Juliana.BRECHETEAU@hotmail.com;27 septembre 2015;27 septembre 2015;20.5 E;2016
9480248;Nathalie;HAYER;H;Nathalie.HAYER@centralesupelec.fr,Nathalie.HAYER@hotmail.fr;October 20, 2015;19 novembre 2015;20.5 euros;2016
9034456;Arnold;COUTAND;H;Arnold.COUTAND@centralesupelec.fr,Arnold.COUTAND@hotmail.fr;22/10/2015;22/10/2015;20.5e;2016
3767273;Flavienne;ALLARD;F;Flavienne.ALLARD@centralesupelec.fr;September 15, 2015;September 15, 2015;20.5e;2016
8710431;Richard;BLUTEAU;M;Richard.BLUTEAU@centralesupelec.fr,Richard.BLUTEAU@hotmail.com;October 05, 2015;October 05, 2015;20.5 euros;2016
7662077;Gianni;BARBARIN;M;Gianni.BARBARIN@centralesupelec.fr;17 septembre 2015;17 septembre 2015;20.5euro;2016
2038955;Roger;BOURSIER;garçon;Roger.BOURSIER@centralesupelec.fr,Roger.BOURSIER@hotmail.fr;14 octobre 2015;14 octobre 2015;20.5 euros;2016
2838672;Armel;BOCHEREAU;H;Armel.BOCHEREAU@centralesupelec.fr;28 septembre 2015;October 28, 2015;20,5euros;2016
6159800;Daniel;LETOURNEAU;garçon;Daniel.LETOURNEAU@centralesupelec.fr,Daniel.LETOURNEAU@orange.fr;October 20, 2015;October 20, 2015;20.5euro;2016
4280311;Claire;COSNARD;garçon;Claire.COSNARD@centralesupelec.fr,Claire.COSNARD@wanadoo.fr;2015/09/27;27/10/2015;20,5 e;2016
3703398;Dalila;LEMAITRE;W;Dalila.LEMAITRE@centralesupelec.fr;2015/10/02;2015/10/02;20.5 e;2016
8175073;Maggy;FRAPPREAU;F;Maggy.FRAPPREAU@centralesupelec.fr,Maggy.FRAPPREAU@hotmail.fr;2015/09/26;2015/09/26;20,5euros;2016
519831;Kathy;SALE;F;Kathy.SALE@centralesupelec.fr,Kathy.SALE@hotmail.fr;18 septembre 2015;October 18, 2015;20.5 E;2016
9535159;Louis;DESBOIS;M;Louis.DESBOIS@centralesupelec.fr;26/09/2015;26/09/2015;20.5 euro;2016
6274814;Marie-Pierre;CAILLE;H;Marie-Pierre.CAILLE@centralesupelec.fr,Marie-Pierre.CAILLE@hotmail.fr;23 septembre 2015;2015/10/23;20,5 e;2016
7094369;Laurence;TURPAULT;fille;Laurence.TURPAULT@centralesupelec.fr,Laurence.TURPAULT@yahoo.fr;03 octobre 2015;03 octobre 2015;20.5 e;2016
2179736;Joël;BREAU;fille;Joel.BREAU@centralesupelec.fr;14/09/2015;14/09/2015;20.5 euro;2016
3049600;Quentin;AVRILLON;H;Quentin.AVRILLON@centralesupelec.fr;27 octobre 2015;27 octobre 2015;20.5euro;2016
9598109;Marie-Rose;LANGE;fille;Marie-Rose.LANGE@centralesupelec.fr,Marie-Rose.LANGE@wanadoo.fr;2015/10/03;;20,5E;2016
9874366;Marie Françoise;BOURDAIS;W;Marie Francoise.BOURDAIS@centralesupelec.fr,Marie Francoise.BOURDAIS@orange.fr;04 octobre 2015;04 octobre 2015;20,5e;2016
254339;Omar;BODIN;garçon;Omar.BODIN@centralesupelec.fr;10 octobre 2015;10 octobre 2015;20,5euros;2016
9094168;Sylvian;THOREAU;M;Sylvian.THOREAU@centralesupelec.fr;2015/09/20;2015/09/20;20.5 euro;2016
4430853;Pierre;DAVY;garçon;Pierre.DAVY@centralesupelec.fr,Pierre.DAVY@google.com;28/09/2015;28/09/2015;20,5 e;2016
5974057;Valéry;GUICHARD;M;Valery.GUICHARD@centralesupelec.fr;September 28, 2015;28/10/2015;20,5 e;2016
1321828;Bernard;SAUVAGET;H;Bernard.SAUVAGET@centralesupelec.fr;19/09/2015;19/09/2015;20,5euro;2016
2581714;Claudine;ROBICHON;garçon;Claudine.ROBICHON@centralesupelec.fr;October 01, 2015;31 octobre 2015;20.5e;2016
519158;Martin;MARCEAU;H;Martin.MARCEAU@centralesupelec.fr,Martin.MARCEAU@free.fr;2015/10/22;2015/10/22;20,5E;2016
2643998;Marie-Neige;EVEILLARD;F;Marie-Neige.EVEILLARD@centralesupelec.fr,Marie-Neige.EVEILLARD@yahoo.com;13/10/2015;13/10/2015;20,5 euros;2016
7066039;Jean Paul;GUIMBRETIERE;garçon;Jean Paul.GUIMBRETIERE@centralesupelec.fr;2015/10/20;2015/10/20;20,5e;2016
2711330;Francisque;BLUTEAU;H;Francisque.BLUTEAU@centralesupelec.fr;2015/10/19;2015/10/19;20,5e;2016
7967859;Marie-Danielle;ETIENNE;F;Marie-Danielle.ETIENNE@centralesupelec.fr,Marie-Danielle.ETIENNE@google.com;01 octobre 2015;01 octobre 2015;20.5euro;2016
5620513;Marie Claude;CAILLEAUD;W;Marie Claude.CAILLEAUD@centralesupelec.fr,Marie Claude.CAILLEAUD@hotmail.fr;2015/10/10;2015/10/10;20,5E;2016
1673058;Marie Renée;GATE;W;Marie Renee.GATE@centralesupelec.fr,Marie Renee.GATE@yahoo.com;17/09/2015;17/09/2015;20,5;2016
6657126;Elvis;RABINEAU;H;Elvis.RABINEAU@centralesupelec.fr;23/09/2015;23/09/2015;20.5 euro;2016
361092;Jean-Lou;LEAU;M;Jean-Lou.LEAU@centralesupelec.fr;07/10/2015;2015/11/06;20,5euro;2016
6939093;Angéla;PLESSIS;F;Angela.PLESSIS@centralesupelec.fr;October 06, 2015;October 06, 2015;20.5;2016
9440070;Samir;SUROT;H;Samir.SUROT@centralesupelec.fr;22/10/2015;21/11/2015;20.5euros;2016
8186899;Rebecca;BREAU;fille;Rebecca.BREAU@centralesupelec.fr;September 27, 2015;September 27, 2015;20.5E;2016
1691150;Eric;CLENET;M;Eric.CLENET@centralesupelec.fr,Eric.CLENET@hotmail.fr;21 octobre 2015;20 novembre 2015;20,5e;2016
9876669;Gaetan;LAMOUREUX;garçon;Gaetan.LAMOUREUX@centralesupelec.fr;02 octobre 2015;2015/11/01;20,5euro;2016
5033619;Driss;CHARPENTIER;H;Driss.CHARPENTIER@centralesupelec.fr;26/10/2015;26/10/2015;20,5 euro;2016
2104286;Marie-Caroline;LEMAITRE;F;Marie-Caroline.LEMAITRE@centralesupelec.fr;30/09/2015;30/09/2015;20,5e;2016
6606927;Salima;GUILBAULT;fille;Salima.GUILBAULT@centralesupelec.fr;October 26, 2015;October 26, 2015;20,5euros;2016
4296479;Saliha;BOISNAULT;W;Saliha.BOISNAULT@centralesupelec.fr;2015/10/03;;20,5 euro;2016
6532698;Adeline;HOUET;fille;Adeline.HOUET@centralesupelec.fr,Adeline.HOUET@sfr.fr;2015/09/16;16/10/2015;20,5euro;2016
738600;Rodolphe;LUMINEAU;H;Rodolphe.LUMINEAU@centralesupelec.fr,Rodolphe.LUMINEAU@yahoo.fr;26/09/2015;2015/10/26;20.5euro;2016
6112233;Jean Charles;RAHARD;H;Jean Charles.RAHARD@centralesupelec.fr;12/10/2015;11/11/2015;20.5euro;2016
1212318;Pierre Louis;BAUDON;garçon;Pierre Louis.BAUDON@centralesupelec.fr,Pierre Louis.BAUDON@sfr.fr;18 septembre 2015;October 18, 2015;20.5;2016
3900634;Saadia;GAULT;W;Saadia.GAULT@centralesupelec.fr,Saadia.GAULT@yahoo.com;September 21, 2015;2015/10/21;20.5;2016
5676653;Renaud;BOUIN;H;Renaud.BOUIN@centralesupelec.fr,Renaud.BOUIN@hotmail.com;2015/09/15;;20,5e;2016
4480087;Adam;GOHIER;garçon;Adam.GOHIER@centralesupelec.fr,Adam.GOHIER@yahoo.com;02/10/2015;01 novembre 2015;20,5 euros;2016
9232177;Mathieu;BONDU;garçon;Mathieu.BONDU@centralesupelec.fr,Mathieu.BONDU@free.fr;19/10/2015;19/10/2015;20,5 euros;2016
8449746;Salah;HUPONT;H;Salah.HUPONT@centralesupelec.fr;September 28, 2015;September 28, 2015;20,5 euro;2016
5491107;Rodrigue;JOUANNEAU;H;Rodrigue.JOUANNEAU@centralesupelec.fr,Rodrigue.JOUANNEAU@orange.fr;19/10/2015;19/10/2015;20,5euros;2016
5500184;Christianne;BIOTTEAU;W;Christianne.BIOTTEAU@centralesupelec.fr;September 12, 2015;September 12, 2015;20,5 e;2016
7505370;Félicie;BORDEAU;F;Felicie.BORDEAU@centralesupelec.fr,Felicie.BORDEAU@google.com;09/10/2015;09/10/2015;20.5euros;2016
9149537;Edward;FUZEAU;H;Edward.FUZEAU@centralesupelec.fr;27 septembre 2015;27 septembre 2015;20,5 euros;2016
6655783;Zineb;ALGOURDIN;W;Zineb.ALGOURDIN@centralesupelec.fr,Zineb.ALGOURDIN@yahoo.com;2015/10/21;2015/10/21;20,5 euros;2016
137467;Jean-Lucien;LEVESQUE;H;Jean-Lucien.LEVESQUE@centralesupelec.fr,Jean-Lucien.LEVESQUE@orange.fr;2015/10/25;2015/10/25;20.5 e;2016
5431327;Moise;LORRE;M;Moise.LORRE@centralesupelec.fr,Moise.LORRE@yahoo.fr;2015/10/24;23/11/2015;20,5 e;2016
4239962;Conchita;SUTEAU;fille;Conchita.SUTEAU@centralesupelec.fr,Conchita.SUTEAU@yahoo.fr;October 12, 2015;October 12, 2015;20.5e;2016
1653783;Erick;RUEL;garçon;Erick.RUEL@centralesupelec.fr;October 16, 2015;;20.5euros;2016
8446594;Alexia;CHAIGNEAU;fille;Alexia.CHAIGNEAU@centralesupelec.fr;27 octobre 2015;27 octobre 2015;20.5 E;2016
8347453;Régine;GEORGET;M;Regine.GEORGET@centralesupelec.fr;22 septembre 2015;22 septembre 2015;20,5 E;2016
2571528;Samira;CHAUVIERE;W;Samira.CHAUVIERE@centralesupelec.fr,Samira.CHAUVIERE@wanadoo.fr;2015/10/09;2015/11/08;20.5e;2016
3532542;Linda;CIROT;F;Linda.CIROT@centralesupelec.fr;2015/09/13;13 octobre 2015;20.5E;2016
8788150;Elizabeth;PERRAULT;F;Elizabeth.PERRAULT@centralesupelec.fr,Elizabeth.PERRAULT@yahoo.com;08 octobre 2015;08 octobre 2015;20,5euro;2016
2385670;Marie Dominique;BEUROIS;F;Marie Dominique.BEUROIS@centralesupelec.fr,Marie Dominique.BEUROIS@yahoo.com;2015/09/29;2015/09/29;20.5 euro;2016
9828995;Christophe;BARRAUD;W;Christophe.BARRAUD@centralesupelec.fr,Christophe.BARRAUD@yahoo.fr;September 22, 2015;September 22, 2015;20.5euros;2016
6638000;David;JADAUD;fille;David.JADAUD@centralesupelec.fr;September 12, 2015;;20.5 euros;2016
1963506;Vivien;RELION;garçon;Vivien.RELION@centralesupelec.fr,Vivien.RELION@google.com;October 21, 2015;October 21, 2015;20,5 euro;2016
2466003;Leon;SOULARD;garçon;Leon.SOULARD@centralesupelec.fr;September 30, 2015;September 30, 2015;20,5euro;2016
1946716;Romaric;CHOQUET;garçon;Romaric.CHOQUET@centralesupelec.fr,Romaric.CHOQUET@yahoo.fr;15 septembre 2015;15 septembre 2015;20.5;2016
9893872;Donat;ABELLARD;H;Donat.ABELLARD@centralesupelec.fr,Donat.ABELLARD@sfr.fr;06 octobre 2015;06 octobre 2015;20,5euros;2016
1094114;Anne-Yvonne;DELAGE;F;Anne-Yvonne.DELAGE@centralesupelec.fr;September 14, 2015;September 14, 2015;20,5 E;2016
7404021;Gervais;MORIN;M;Gervais.MORIN@centralesupelec.fr,Gervais.MORIN@sfr.fr;September 14, 2015;October 14, 2015;20.5euros;2016
3122629;Gautier;DELAPORTE;garçon;Gautier.DELAPORTE@centralesupelec.fr;2015/09/25;October 25, 2015;20.5 E;2016
3530514;Helen;RABINEAU;F;Helen.RABINEAU@centralesupelec.fr,Helen.RABINEAU@yahoo.com;15 octobre 2016;15 octobre 2016;25.5E;2017
7208231;Florian;COEFFARD;M;Florian.COEFFARD@centralesupelec.fr,Florian.COEFFARD@yahoo.fr;23/10/2016;November 22, 2016;25,5;2017
3911039;Christiane;LE GOFF;W;Christiane.LE GOFF@centralesupelec.fr;October 21, 2016;;25.5E;2017
5876984;Jacob;ROUSSIERE;garçon;Jacob.ROUSSIERE@centralesupelec.fr,Jacob.ROUSSIERE@yahoo.com;29/09/2016;29/09/2016;25,5;2017
3349644;Carinne;BABARIT;F;Carinne.BABARIT@centralesupelec.fr;October 12, 2016;October 12, 2016;25.5 e;2017
2321657;Léonie;RELION;F;Leonie.RELION@centralesupelec.fr;17 octobre 2016;16 novembre 2016;25,5 euro;2017
2357186;Marie-Helene;COUVREUR;W;Marie-Helene.COUVREUR@centralesupelec.fr;2016/09/27;2016/09/27;25,5 E;2017
4265828;Denis;HODE;fille;Denis.HODE@centralesupelec.fr;29 septembre 2016;29 septembre 2016;25.5E;2017
2665152;Marie Odile;REVEILLERE;W;Marie Odile.REVEILLERE@centralesupelec.fr;September 15, 2016;September 15, 2016;25,5 euro;2017
4583291;Suzy;COSNARD;fille;Suzy.COSNARD@centralesupelec.fr;09/10/2016;09/10/2016;25,5 e;2017
6060655;Gina;GUILLEMET;fille;Gina.GUILLEMET@centralesupelec.fr;22 octobre 2016;November 21, 2016;25.5e;2017
1663442;Théodore;BOMARD;garçon;Theodore.BOMARD@centralesupelec.fr,Theodore.BOMARD@wanadoo.fr;18/10/2016;17 novembre 2016;25,5euros;2017
1372826;Guy-Marie;FREMY;H;Guy-Marie.FREMY@centralesupelec.fr,Guy-Marie.FREMY@free.fr;September 18, 2016;September 18, 2016;25,5E;2017
1125045;Chantale;ROGER;W;Chantale.ROGER@centralesupelec.fr;14/10/2016;14/10/2016;25,5 euro;2017
5991458;Chrystele;DUBOIS;F;Chrystele.DUBOIS@centralesupelec.fr,Chrystele.DUBOIS@free.fr;2016/10/04;2016/10/04;25.5 E;2017
1470462;Mohamed;DOUCET;H;Mohamed.DOUCET@centralesupelec.fr;26/10/2016;25 novembre 2016;25,5 euros;2017
400929;Vincenzo;EDIN;H;Vincenzo.EDIN@centralesupelec.fr;October 13, 2016;October 13, 2016;25.5euro;2017
1942196;Constantin;LIZE;H;Constantin.LIZE@centralesupelec.fr,Constantin.LIZE@yahoo.fr;October 06, 2016;05/11/2016;25.5 euros;2017
1548313;Claude;PAULEAU;F;Claude.PAULEAU@centralesupelec.fr;2016/10/14;;25,5 euros;2017
6370815;Marie-Josee;FRADIN;W;Marie-Josee.FRADIN@centralesupelec.fr;11/10/2016;11/10/2016;25,5 euros;2017
5905613;Fany;LE ROY;W;Fany.LE ROY@centralesupelec.fr,Fany.LE ROY@hotmail.fr;20/10/2016;20/10/2016;25.5 euro;2017
7812504;Steeve;LUCAS;H;Steeve.LUCAS@centralesupelec.fr;22 septembre 2016;2016/10/22;25,5E;2017
4309490;Frédéric;BASLE;W;Frederic.BASLE@centralesupelec.fr,Frederic.BASLE@hotmail.com;2016/09/15;2016/09/15;25.5 e;2017
6987488;Lise-Marie;BEAUMIER;W;Lise-Marie.BEAUMIER@centralesupelec.fr;2016/10/23;2016/10/23;25,5;2017
9060073;Gilbert;MARQUET;M;Gilbert.MARQUET@centralesupelec.fr,Gilbert.MARQUET@sfr.fr;16/10/2016;16/10/2016;25.5 euros;2017
9419081;Arnauld;MESNARD;garçon;Arnauld.MESNARD@centralesupelec.fr,Arnauld.MESNARD@wanadoo.fr;October 08, 2016;October 08, 2016;25,5 E;2017
1865983;Jean-Léon;CHEREAU;H;Jean-Leon.CHEREAU@centralesupelec.fr;2016/10/01;2016/10/01;25,5euro;2017
4142842;Jean-José;BONNEAU;M;Jean-Jose.BONNEAU@centralesupelec.fr,Jean-Jose.BONNEAU@orange.fr;October 05, 2016;October 05, 2016;25.5e;2017
4143600;Santiago;HURTAUD;M;Santiago.HURTAUD@centralesupelec.fr;September 20, 2016;September 20, 2016;25.5e;2017
2184742;Halima;CHALLIER;fille;Halima.CHALLIER@centralesupelec.fr;September 19, 2016;September 19, 2016;25.5e;2017
7997977;Eva;SORIN;fille;Eva.SORIN@centralesupelec.fr,Eva.SORIN@orange.fr;2016/09/25;2016/09/25;25,5 E;2017
1562758;Pascaline;DUPONT;W;Pascaline.DUPONT@centralesupelec.fr;October 13, 2016;12 novembre 2016;25,5euro;2017
2492393;Moussa;LEMOINE;H;Moussa.LEMOINE@centralesupelec.fr,Moussa.LEMOINE@hotmail.com;14 septembre 2016;October 14, 2016;25.5 euros;2017
3552069;Francisco;BIEMON;H;Francisco.BIEMON@centralesupelec.fr,Francisco.BIEMON@yahoo.fr;24/09/2016;24/10/2016;25,5 euro;2017
3654631;Noëlle;BLOT;M;Noelle.BLOT@centralesupelec.fr,Noelle.BLOT@yahoo.fr;18 septembre 2016;18 septembre 2016;25.5 e;2017
6690661;Flavie;BEAUPERIN;fille;Flavie.BEAUPERIN@centralesupelec.fr,Flavie.BEAUPERIN@yahoo.fr;28 septembre 2016;28 septembre 2016;25,5euros;2017
3770467;René-Claude;MEIGNANT;M;Rene-Claude.MEIGNANT@centralesupelec.fr;October 14, 2016;13/11/2016;25.5euro;2017
6555383;Bruce;BEAUFRETON;garçon;Bruce.BEAUFRETON@centralesupelec.fr,Bruce.BEAUFRETON@hotmail.com;September 11, 2016;September 11, 2016;25.5 euro;2017
3273815;John;RIVAULT;garçon;John.RIVAULT@centralesupelec.fr;14 septembre 2016;2016/10/14;25.5;2017
3806289;Frédérique;MOREAU;W;Frederique.MOREAU@centralesupelec.fr,Frederique.MOREAU@sfr.fr;September 23, 2016;September 23, 2016;25.5;2017
5668218;Gildas;LIBAUD;garçon;Gildas.LIBAUD@centralesupelec.fr;October 06, 2016;October 06, 2016;25,5 E;2017
5547837;Guilaine;PICHONNEAU;fille;Guilaine.PICHONNEAU@centralesupelec.fr;11/10/2016;11/10/2016;25.5euros;2017
7272063;Valérie;MAILLOCHON;fille;Valerie.MAILLOCHON@centralesupelec.fr;September 11, 2016;September 11, 2016;25,5e;2017
5421882;Pierre Louis;PRIEUR;H;Pierre Louis.PRIEUR@centralesupelec.fr;2016/10/07;2016/10/07;25.5e;2017
5902875;Olivier;MAHE;M;Olivier.MAHE@centralesupelec.fr;2016/10/23;2016/10/23;25.5 euros;2017
2598785;Marie-Josée;COULONNIER;fille;Marie-Josee.COULONNIER@centralesupelec.fr,Marie-Josee.COULONNIER@google.com;2016/10/11;2016/10/11;25,5;2017
3043614;Dany;LIGER;H;Dany.LIGER@centralesupelec.fr,Dany.LIGER@hotmail.com;2016/09/16;16 octobre 2016;25,5 euros;2017
7035795;Bénédicte;ETOURNEUX;garçon;Benedicte.ETOURNEUX@centralesupelec.fr;October 09, 2016;October 09, 2016;25,5e;2017
1841688;Anne-Yvonne;BITEAU;W;Anne-Yvonne.BITEAU@centralesupelec.fr;20 septembre 2016;20 septembre 2016;25,5 E;2017
8354927;Jean-Georges;LEPAGE;H;Jean-Georges.LEPAGE@centralesupelec.fr,Jean-Georges.LEPAGE@yahoo.com;2016/09/28;2016/09/28;25.5 euro;2017
9377131;Elio;LEROUX;M;Elio.LEROUX@centralesupelec.fr;22 septembre 2016;22 octobre 2016;25.5;2017
8889641;Salah;GAILLARD;garçon;Salah.GAILLARD@centralesupelec.fr;September 20, 2016;20 octobre 2016;25.5 euro;2017
5106993;Marie-Amélie;DELORME;F;Marie-Amelie.DELORME@centralesupelec.fr;October 09, 2016;October 09, 2016;25.5E;2017
4434849;Gisèle;ANDRAULT;W;Gisele.ANDRAULT@centralesupelec.fr;11 octobre 2016;11 octobre 2016;25,5euros;2017
8623571;Kheira;ROTUREAU;W;Kheira.ROTUREAU@centralesupelec.fr;2016/10/24;2016/10/24;25,5E;2017
2904145;Djamila;CHEVRIER;W;Djamila.CHEVRIER@centralesupelec.fr;25 octobre 2016;25 octobre 2016;25.5 e;2017
2464497;Maggy;LELIEVRE;fille;Maggy.LELIEVRE@centralesupelec.fr,Maggy.LELIEVRE@sfr.fr;12/10/2016;12/10/2016;25,5 euros;2017
1119943;Maude;ALGOURDIN;fille;Maude.ALGOURDIN@centralesupelec.fr;09/10/2016;08 novembre 2016;25,5E;2017
3479955;Marie-Elisabeth;RAVARY;F;Marie-Elisabeth.RAVARY@centralesupelec.fr;October 15, 2016;October 15, 2016;25,5e;2017
1898596;Keith;BUROT;H;Keith.BUROT@centralesupelec.fr;20/09/2016;20/09/2016;25,5e;2017
6507216;Paul-André;LEFEVRE;H;Paul-Andre.LEFEVRE@centralesupelec.fr,Paul-Andre.LEFEVRE@wanadoo.fr;12/10/2016;2016/11/11;25.5 e;2017
2506071;Anne-Claire;JADEAU;fille;Anne-Claire.JADEAU@centralesupelec.fr;October 17, 2016;October 17, 2016;25,5 euro;2017
5089004;Vincenza;DELAHAIE;fille;Vincenza.DELAHAIE@centralesupelec.fr,Vincenza.DELAHAIE@wanadoo.fr;October 24, 2016;October 24, 2016;25,5 E;2017
6802351;Muguette;MONNIER;W;Muguette.MONNIER@centralesupelec.fr;2016/10/05;2016/10/05;25,5euro;2017
2206687;Marie Paule;GODEFROY;F;Marie Paule.GODEFROY@centralesupelec.fr,Marie Paule.GODEFROY@yahoo.fr;October 03, 2016;October 03, 2016;25.5 euro;2017
15560;Astride;MAROLLEAU;F;Astride.MAROLLEAU@centralesupelec.fr,Astride.MAROLLEAU@wanadoo.fr;13 octobre 2016;13 octobre 2016;25,5euros;2017
4478217;Bénédicte;BOUHIRON;W;Benedicte.BOUHIRON@centralesupelec.fr;18 octobre 2016;18 octobre 2016;25,5 euro;2017
2892019;Fatima;PONTONNIER;W;Fatima.PONTONNIER@centralesupelec.fr,Fatima.PONTONNIER@free.fr;22/10/2016;22/10/2016;25.5 e;2017
1663405;Lilianne;BUCHER;F;Lilianne.BUCHER@centralesupelec.fr,Lilianne.BUCHER@free.fr;2016/09/28;2016/09/28;25.5 euro;2017
9976281;Jean-Richard;RAPICAULT;M;Jean-Richard.RAPICAULT@centralesupelec.fr;September 29, 2016;September 29, 2016;25,5euros;2017
1710322;Siegfried;GRANDIN;H;Siegfried.GRANDIN@centralesupelec.fr,Siegfried.GRANDIN@hotmail.fr;21/10/2016;21/10/2016;25,5;2017
3805079;Antonin;CHESNE;garçon;Antonin.CHESNE@centralesupelec.fr,Antonin.CHESNE@google.com;October 23, 2016;October 23, 2016;25.5 euros;2017
2854528;Yannik;MANDIN;garçon;Yannik.MANDIN@centralesupelec.fr;2016/10/21;2016/10/21;25.5e;2017
3615984;Corinne;SAVARIT;H;Corinne.SAVARIT@centralesupelec.fr,Corinne.SAVARIT@sfr.fr;2016/10/23;2016/10/23;25.5euro;2017
7970054;Soraya;BRECHET;F;Soraya.BRECHET@centralesupelec.fr;24 septembre 2016;24 septembre 2016;25.5 e;2017
